ConnectorChannelNum,DeviceChannelNum,PackageID,SiteOrientationNum
32,16,3,1
32,11,4,3
32,12,5,6
32,1,6,8
32,10,7,5
32,5,8,7
32,14,9,10
32,15,10,12
32,4,11,9
32,8,12,11
32,3,13,14
32,7,14,16
32,2,15,13
32,6,16,15
32,32,17,18
32,28,18,20
32,29,19,17
32,25,20,19
32,24,21,22
32,30,22,24
32,31,23,21
32,26,24,23
32,27,25,26
32,20,26,28
32,21,27,25
32,18,28,27
32,17,29,30
32,22,30,32
32,19,31,29
32,23,32,31
34,11,1,1
34,1,2,3
34,5,3,5
34,15,4,7
34,8,5,9
34,4,6,11
34,14,7,13
34,10,8,15
34,2,9,17
34,13,10,19
34,9,11,21
34,3,12,23
34,12,13,25
34,16,14,27
34,7,15,29
34,29,16,31
34,25,17,32
34,22,18,30
34,18,19,28
34,19,20,26
34,23,21,24
34,28,22,22
34,32,23,20
34,6,24,18
34,20,25,16
34,26,26,14
34,30,27,12
34,24,28,10
34,31,29,8
34,27,30,6
34,21,31,4
34,17,32,2
35,11,1,1
35,1,2,3
35,5,3,5
35,15,4,7
35,8,5,9
35,4,6,11
35,14,7,13
35,10,8,15
35,2,9,16
35,13,10,14
35,9,11,12
35,3,12,10
35,12,13,8
35,16,14,6
35,7,15,4
35,29,16,2
35,25,17,17
35,22,18,19
35,18,19,21
35,19,20,23
35,23,21,25
35,28,22,27
35,32,23,29
35,6,24,31
35,20,25,32
35,26,26,30
35,30,27,28
35,24,28,26
35,31,29,24
35,27,30,22
35,21,31,20
35,17,32,18
36,11,1,1
36,1,2,3
36,5,3,5
36,15,4,7
36,8,5,8
36,4,6,6
36,14,7,4
36,10,8,2
36,2,9,9
36,13,10,11
36,9,11,13
36,3,12,15
36,12,13,16
36,16,14,14
36,7,15,12
36,29,16,10
36,25,17,17
36,22,18,19
36,18,19,21
36,19,20,23
36,23,21,24
36,28,22,22
36,32,23,20
36,6,24,18
36,20,25,25
36,26,26,27
36,30,27,29
36,24,28,31
36,31,29,32
36,27,30,30
36,21,31,28
36,17,32,26
37,11,1,1
37,1,2,3
37,5,3,4
37,15,4,2
37,8,5,5
37,4,6,7
37,14,7,8
37,10,8,6
37,2,9,9
37,13,10,11
37,9,11,12
37,3,12,10
37,12,13,13
37,16,14,15
37,7,15,16
37,29,16,14
37,25,17,17
37,22,18,19
37,18,19,20
37,19,20,18
37,23,21,21
37,28,22,23
37,32,23,24
37,6,24,22
37,20,25,25
37,26,26,27
37,30,27,28
37,24,28,26
37,31,29,29
37,27,30,31
37,21,31,32
37,17,32,30
38,11,1,2
38,1,2,6
38,5,3,4
38,15,4,8
38,8,5,5
38,4,6,1
38,14,7,7
38,10,8,3
38,2,9,10
38,13,10,14
38,9,11,12
38,3,12,16
38,12,13,13
38,16,14,9
38,7,15,15
38,29,16,11
38,25,17,18
38,22,18,22
38,18,19,20
38,19,20,24
38,23,21,21
38,28,22,17
38,32,23,23
38,6,24,19
38,20,25,26
38,26,26,30
38,30,27,28
38,24,28,32
38,31,29,29
38,27,30,25
38,21,31,31
38,17,32,27
39,11,1,2
39,1,2,4
39,5,3,1
39,15,4,3
39,8,5,6
39,4,6,8
39,14,7,5
39,10,8,7
39,2,9,10
39,13,10,12
39,9,11,9
39,3,12,11
39,12,13,14
39,16,14,16
39,7,15,13
39,29,16,15
39,25,17,18
39,22,18,20
39,18,19,17
39,19,20,19
39,23,21,22
39,28,22,24
39,32,23,21
39,6,24,23
39,20,25,26
39,26,26,28
39,30,27,25
39,24,28,27
39,31,29,30
39,27,30,32
39,21,31,29
39,17,32,31
41,26,14,27
41,27,3,5
41,1,21,24
